agency_cd,site_no,Date,Flow,Flow_cd
USGS,08164000,1990-01-01,7.5,A
USGS,08164000,1990-01-02,7.5,A
USGS,08164000,1990-01-03,7.5,A
USGS,08164000,1990-01-04,8.7,A
USGS,08164000,1990-01-05,11,A
USGS,08164000,1990-01-06,11,A
USGS,08164000,1990-01-07,12,A
USGS,08164000,1990-01-08,15,A
USGS,08164000,1990-01-09,17,A
USGS,08164000,1990-01-10,14,A
USGS,08164000,1990-01-11,14,A
USGS,08164000,1990-01-12,13,A
USGS,08164000,1990-01-13,11,A
USGS,08164000,1990-01-14,10,A
USGS,08164000,1990-01-15,9.4,A
USGS,08164000,1990-01-16,9,A
USGS,08164000,1990-01-17,8.2,A
USGS,08164000,1990-01-18,8.7,A
USGS,08164000,1990-01-19,9.3,A
USGS,08164000,1990-01-20,9.9,A
USGS,08164000,1990-01-21,9.4,A
USGS,08164000,1990-01-22,8.2,A
USGS,08164000,1990-01-23,8.1,A
USGS,08164000,1990-01-24,8.2,A
USGS,08164000,1990-01-25,8.7,A
USGS,08164000,1990-01-26,8.7,A
USGS,08164000,1990-01-27,7.2,A
USGS,08164000,1990-01-28,8.8,A
USGS,08164000,1990-01-29,11,A
USGS,08164000,1990-01-30,11,A
USGS,08164000,1990-01-31,9.1,A
USGS,08164000,1990-02-01,9.6,A
USGS,08164000,1990-02-02,11,A
USGS,08164000,1990-02-03,12,A
USGS,08164000,1990-02-04,13,A
USGS,08164000,1990-02-05,15,A
USGS,08164000,1990-02-06,13,A
USGS,08164000,1990-02-07,13,A
USGS,08164000,1990-02-08,13,A
USGS,08164000,1990-02-09,13,A
USGS,08164000,1990-02-10,13,A
USGS,08164000,1990-02-11,11,A
USGS,08164000,1990-02-12,8.5,A
USGS,08164000,1990-02-13,8,A
USGS,08164000,1990-02-14,8.1,A
USGS,08164000,1990-02-15,9.5,A
USGS,08164000,1990-02-16,7.9,A
USGS,08164000,1990-02-17,6.6,A
USGS,08164000,1990-02-18,6.6,A
USGS,08164000,1990-02-19,7.5,A
USGS,08164000,1990-02-20,9.7,A
USGS,08164000,1990-02-21,25,A
USGS,08164000,1990-02-22,66,A
USGS,08164000,1990-02-23,163,A
USGS,08164000,1990-02-24,82,A
USGS,08164000,1990-02-25,41,A
USGS,08164000,1990-02-26,26,A
USGS,08164000,1990-02-27,17,A
USGS,08164000,1990-02-28,25,A
USGS,08164000,1990-03-01,141,A
USGS,08164000,1990-03-02,144,A
USGS,08164000,1990-03-03,56,A
USGS,08164000,1990-03-04,52,A
USGS,08164000,1990-03-05,34,A
USGS,08164000,1990-03-06,22,A
USGS,08164000,1990-03-07,16,A
USGS,08164000,1990-03-08,13,A
USGS,08164000,1990-03-09,12,A
USGS,08164000,1990-03-10,11,A
USGS,08164000,1990-03-11,11,A
USGS,08164000,1990-03-12,11,A
USGS,08164000,1990-03-13,11,A
USGS,08164000,1990-03-14,11,A
USGS,08164000,1990-03-15,11,A
USGS,08164000,1990-03-16,10,A
USGS,08164000,1990-03-17,9.3,A
USGS,08164000,1990-03-18,8.8,A
USGS,08164000,1990-03-19,8.2,A
USGS,08164000,1990-03-20,7.5,A
USGS,08164000,1990-03-21,7.5,A
USGS,08164000,1990-03-22,7,A
USGS,08164000,1990-03-23,6.5,A
USGS,08164000,1990-03-24,6.5,A
USGS,08164000,1990-03-25,6.5,A
USGS,08164000,1990-03-26,6.5,A
USGS,08164000,1990-03-27,6,A
USGS,08164000,1990-03-28,6,A
USGS,08164000,1990-03-29,8.5,A
USGS,08164000,1990-03-30,713,A
USGS,08164000,1990-03-31,1640,A
USGS,08164000,1990-04-01,661,A
USGS,08164000,1990-04-02,229,A
USGS,08164000,1990-04-03,122,A
USGS,08164000,1990-04-04,83,A
USGS,08164000,1990-04-05,62,A
USGS,08164000,1990-04-06,49,A
USGS,08164000,1990-04-07,39,A
USGS,08164000,1990-04-08,32,A
USGS,08164000,1990-04-09,28,A
USGS,08164000,1990-04-10,26,A
USGS,08164000,1990-04-11,36,A
USGS,08164000,1990-04-12,25,A
USGS,08164000,1990-04-13,19,A
USGS,08164000,1990-04-14,21,A
USGS,08164000,1990-04-15,56,A
USGS,08164000,1990-04-16,51,A
USGS,08164000,1990-04-17,34,A
USGS,08164000,1990-04-18,26,A
USGS,08164000,1990-04-19,20,A
USGS,08164000,1990-04-20,15,A
USGS,08164000,1990-04-21,8.7,A
USGS,08164000,1990-04-22,6.5,A
USGS,08164000,1990-04-23,7.3,A
USGS,08164000,1990-04-24,16,A
USGS,08164000,1990-04-25,12,A
USGS,08164000,1990-04-26,15,A
USGS,08164000,1990-04-27,1530,A
USGS,08164000,1990-04-28,799,A
USGS,08164000,1990-04-29,279,A
USGS,08164000,1990-04-30,136,A
USGS,08164000,1990-05-01,88,A
USGS,08164000,1990-05-02,63,A
USGS,08164000,1990-05-03,50,A
USGS,08164000,1990-05-04,277,A
USGS,08164000,1990-05-05,571,A
USGS,08164000,1990-05-06,157,A
USGS,08164000,1990-05-07,86,A
USGS,08164000,1990-05-08,61,A
USGS,08164000,1990-05-09,49,A
USGS,08164000,1990-05-10,40,A
USGS,08164000,1990-05-11,31,A
USGS,08164000,1990-05-12,25,A
USGS,08164000,1990-05-13,21,A
USGS,08164000,1990-05-14,15,A
USGS,08164000,1990-05-15,12,A
USGS,08164000,1990-05-16,12,A
USGS,08164000,1990-05-17,12,A
USGS,08164000,1990-05-18,11,A
USGS,08164000,1990-05-19,204,A
USGS,08164000,1990-05-20,64,A
USGS,08164000,1990-05-21,32,A
USGS,08164000,1990-05-22,22,A
USGS,08164000,1990-05-23,51,A
USGS,08164000,1990-05-24,30,A
USGS,08164000,1990-05-25,19,A
USGS,08164000,1990-05-26,14,A
USGS,08164000,1990-05-27,8.7,A
USGS,08164000,1990-05-28,6.4,A
USGS,08164000,1990-05-29,5.1,A
USGS,08164000,1990-05-30,4.2,A
USGS,08164000,1990-05-31,3.6,A
USGS,08164000,1990-06-01,3.5,A
USGS,08164000,1990-06-02,3.6,A
USGS,08164000,1990-06-03,3.5,A
USGS,08164000,1990-06-04,2.6,A
USGS,08164000,1990-06-05,2.1,A
USGS,08164000,1990-06-06,1.5,A
USGS,08164000,1990-06-07,1.2,A
USGS,08164000,1990-06-08,0.97,A
USGS,08164000,1990-06-09,0.62,A
USGS,08164000,1990-06-10,0.55,A
USGS,08164000,1990-06-11,0.4,A
USGS,08164000,1990-06-12,0.32,A
USGS,08164000,1990-06-13,0.2,A
USGS,08164000,1990-06-14,0.09,A
USGS,08164000,1990-06-15,0.09,A
USGS,08164000,1990-06-16,0.09,A
USGS,08164000,1990-06-17,0.06,A
USGS,08164000,1990-06-18,0.03,A
USGS,08164000,1990-06-19,0.02,A
USGS,08164000,1990-06-20,0.01,A
USGS,08164000,1990-06-21,0.01,A
USGS,08164000,1990-06-22,0,A
USGS,08164000,1990-06-23,0,A
USGS,08164000,1990-06-24,0,A
USGS,08164000,1990-06-25,0,A
USGS,08164000,1990-06-26,0,A
USGS,08164000,1990-06-27,0,A
USGS,08164000,1990-06-28,0,A
USGS,08164000,1990-06-29,0.01,A
USGS,08164000,1990-06-30,0.01,A
USGS,08164000,1990-07-01,0.01,A
USGS,08164000,1990-07-02,0.02,A
USGS,08164000,1990-07-03,0.01,A
USGS,08164000,1990-07-04,0.01,A
USGS,08164000,1990-07-05,0.02,A
USGS,08164000,1990-07-06,0.03,A
USGS,08164000,1990-07-07,0.03,A
USGS,08164000,1990-07-08,0.03,A
USGS,08164000,1990-07-09,0.02,A
USGS,08164000,1990-07-10,0.07,A
USGS,08164000,1990-07-11,0.02,A
USGS,08164000,1990-07-12,1.3,A
USGS,08164000,1990-07-13,0.62,A
USGS,08164000,1990-07-14,0.03,A
USGS,08164000,1990-07-15,1.3,A
USGS,08164000,1990-07-16,35,A
